station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric
3028,AV. PARAL·LEL -  JAUME FABRA (Pujada),2.16029419260348,41.375029348858,638.5,682.1,3.3,500_1000m,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4040,BALMES - ROSSELLÓ (baixada),2.15768899888382,41.3930505058183,670.8,697.0,17.5,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5017,PG. LLUÍS COMPANYS - ALMOGÀVERS (Pujada),2.18142013340698,41.3910021306038,679.3,842.1,22.5,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4086,JARDINS SALVADOR ESPRIU -DIAGONAL  (sentit Llobregat),2.15920458873656,41.3970883113916,681.1,763.3,12.0,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4108,ALI BEI - SICILIA (sentit Llobregat),2.18183931724049,41.3942980429187,683.6,838.3,4.6,500_1000m,500_1000m,"2022,2023,2024,2025",undirected_osm_highway_utm31n
4054,LEPANT - DIPUTACIÓ  (sentit mar),2.18152930913028,41.4007236955616,685.9,785.1,16.7,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2001,PARÍS - VILADOMAT (sentit Besòs),2.1465047471315,41.3885296827205,691.7,815.2,29.2,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4096,ROSSELLÓ - ARIBAU (sentit Besòs),2.15547146519011,41.391862456137,694.9,736.8,19.5,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4039,ROSSELLÓ - BALMES (sentit Besòs),2.15782762359234,41.3936544186481,709.5,779.0,5.2,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5020,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat),2.18214874228289,41.3912139162087,730.8,913.9,20.8,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
