seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
2173,2,10,Sant Antoni,Eixample,429794.55013951985,4580812.942981229,603.355441878603,1544
3001,3,11,el Poble-sec,Sants-Montjuïc,429595.6010209086,4580652.111955467,571.4928170311246,1685
3002,3,11,el Poble-sec,Sants-Montjuïc,429527.03689043625,4580494.247338886,680.8573676311331,1943
3003,3,11,el Poble-sec,Sants-Montjuïc,429463.750734644,4580636.542252584,525.3566356616517,1662
3004,3,11,el Poble-sec,Sants-Montjuïc,429343.17123140395,4580618.49861966,514.249832109808,1563
3005,3,11,el Poble-sec,Sants-Montjuïc,429432.89760131313,4580339.644733457,803.845412821419,1161
3006,3,11,el Poble-sec,Sants-Montjuïc,429681.94603161706,4580352.037820212,874.4520990390727,1399
3007,3,11,el Poble-sec,Sants-Montjuïc,429689.2486839736,4580481.458321769,765.6648116502257,1658
3008,3,11,el Poble-sec,Sants-Montjuïc,429752.86332717614,4580571.652812713,730.4981734132111,1207
3009,3,11,el Poble-sec,Sants-Montjuïc,429780.5304702358,4580675.639613524,674.8660587017907,1196
3010,3,11,el Poble-sec,Sants-Montjuïc,429942.0600512266,4580646.090293205,818.9752915417271,1895
3011,3,11,el Poble-sec,Sants-Montjuïc,429896.2159278863,4580508.526567628,874.0328939129134,1755
3012,3,11,el Poble-sec,Sants-Montjuïc,430080.9713557355,4580620.008185011,948.5071946637767,2033
3013,3,11,el Poble-sec,Sants-Montjuïc,430074.18928080803,4580444.692461229,1047.8699842966353,1717
3014,3,11,el Poble-sec,Sants-Montjuïc,430193.65164991637,4580476.428083739,1122.2748807110218,1779
3015,3,11,el Poble-sec,Sants-Montjuïc,430274.9632923446,4580619.943842139,1113.7479296024558,2901
3016,3,11,el Poble-sec,Sants-Montjuïc,430465.0256101394,4580646.253927586,1231.5610001634882,1254
3017,3,11,el Poble-sec,Sants-Montjuïc,430335.19284619763,4580456.585669509,1250.7219543675299,1629
3018,3,11,el Poble-sec,Sants-Montjuïc,430491.1418410913,4580462.30375559,1376.624570431273,1635
3019,3,11,el Poble-sec,Sants-Montjuïc,430664.712043256,4580604.887690558,1413.4991893768204,1511
3020,3,11,el Poble-sec,Sants-Montjuïc,430947.3851670062,4580479.275137545,1716.639254704696,1213
3021,3,11,el Poble-sec,Sants-Montjuïc,430752.78154780396,4580479.784075516,1559.5475801393222,1074
3022,3,11,el Poble-sec,Sants-Montjuïc,430571.0961600302,4580328.664857728,1518.5249852149827,1424
3023,3,11,el Poble-sec,Sants-Montjuïc,430159.5297466415,4580318.2369842995,1195.7480821317495,1875
3024,3,11,el Poble-sec,Sants-Montjuïc,429477.80179561407,4579488.07721449,1652.6578896024791,1974
3025,3,12,la Marina del Prat Vermell,Sants-Montjuïc,428198.5325126097,4576754.601239828,4454.353312961321,1517
3026,3,13,la Marina de Port,Sants-Montjuïc,427618.04080449295,4578597.977863661,2853.645356304402,998
3027,3,13,la Marina de Port,Sants-Montjuïc,427639.12947569333,4578951.608472852,2531.045163526303,1704
3028,3,13,la Marina de Port,Sants-Montjuïc,427747.47458151076,4579289.310673957,2184.8529903241,2612
3029,3,13,la Marina de Port,Sants-Montjuïc,427807.5191640643,4578932.487421693,2469.902041426806,1267
3030,3,13,la Marina de Port,Sants-Montjuïc,427967.066519363,4578784.214298509,2542.476430788729,1566
3031,3,13,la Marina de Port,Sants-Montjuïc,428236.66859772115,4578854.855859342,2390.2001880927437,2360
3032,3,13,la Marina de Port,Sants-Montjuïc,428401.79689293314,4578725.570992858,2477.6451769645278,1700
3033,3,13,la Marina de Port,Sants-Montjuïc,428186.99819798925,4579141.306400041,2131.517108091817,1477
3034,3,13,la Marina de Port,Sants-Montjuïc,428121.88366411085,4578988.3546989495,2297.3744083966308,1496
